Docket Number,State,Date Argued,Date Decided ,Area*,Decision,Status,Court Leaning,Previous Court,City,Latitude,Longitude
16-74,Illinois,12/02/16,06/05/16,Economic Activity,8-0,affirmed,Major Majority,7th Circuit,"Downers Grove, Illinois",41.808919,-88.011175
16-142,Tennessee,12/09/16,06/05/16,Criminal Procedure,8-0,"affirmed part, reversed part",Major Majority,6th Circuit,"Chattanooga, Tennessee",35.04563,-85.30968
16-149,Missouri,03/01/17,04/18/17,Criminal Procedure,8-0,Affirmed,Major Majority,Supreme Court of Missouri,"St. Louis, Missouri",38.627003,-90.199404
16-240,Massachusetts,04/19/17,06/22/17,Criminal Procedure,7–2 ,Reversed,can not tell,Supreme Court of Massachusetts ,"Dorchester, Massachusetts",42.30163,-71.067605
16-254,Texas,02/12/17,03/22/17,Economic Activity ,8-0,Affirmed,Major Majority,14th Court of Appeals of Texas,"Galveston County, Texas",29.37635,-94.852064
16-309,Ohio,04/26/17,06/22/17,Civil Rights,9-0,Affirmed,Major Majority,6th Circuit,"Akron, Ohio",41.081445,-81.519005
16-327,Tennessee,03/28/17,06/23/17,Criminal Procedure,6-2,Reversed,can not tell,6th Circuit,"Memphis, Tennessee",35.149534,-90.04898
16-341,Delaware,03/27/17,05/22/17,Interstate Relations,8-0,Affirmed,Major Majority,Court of Appeals for the Federal Court,"Dover, Delaware",39.158168,-75.524368
16-348,Alabama,01/17/17,05/15/17,Private Action,5-3,Affirmed ,Conservative,11th Circuit,"Mobile, Alabama",30.695366,-88.039891
16-349,Texas,01/12/17,04/18/17,Economic Activity ,9-0,Reversed,Major Majority,4th Circuit,"Dallas, Texas",32.776664,-96.796988
16-369,California,03/17/17,05/30/17,Civil Rights,8-0,Affirmed ,Major Majority,9th Circuit,"Los Angeles, California",34.052234,-118.243685
16-373,California,04/17/17,06/26/17,Economic Activity ,5-4,Affirmed ,Conservative,2nd Circuit,"New York, New York",36.102371,-115.174556
16-399,"Washington, D.C.",04/17/17,06/23/17,Civil Rights,7-2,Reversed,Liberal,District of Columbia Court of Appeals,"Washington, D.C.",38.907192,-77.036871
16-405,Montana,04/25/17,05/30/17,Due Process,8-1,Reversed,Major Majority,Montana Supreme Court,"Missoula, Montana ",46.878718,-113.996586
16-466,California,04/25/17,06/19/17,Judicial Power,8-1,Reversed,Major Majority,Supreme Court of California,"San Francisco, California",37.774929,-122.419416
16-529,New Mexico,04/18/17,06/05/17,Economic Activity ,9-0,Reversed,Major Majority,District Court for the District of New Mexico,"Albuquerque, New Mexico",35.085334,-106.605553
16-605,New York,04/17/17,06/05/17,Judicial Power,9-0,Vacated ,Major Majority,2nd Circuit,"Chester, New York",41.362594,-74.271261
16-5294,Alabama,04/24/17,06/19/17,Due Process,5-4,Reversed,Liberal,11th Circuit,"Birmingham, Alabama",33.520661,-86.80249
16-6219,Texas,04/24/17,06/26/17,Criminal Procedure,5-4,Affirmed ,Conservative,5th Circuit,"Fort Worth, Texas",32.755488,-97.330766
